     N     kind   hungarian_ms    p99_ms  argsort_ms   ratio  %of 28ms
    10  uniform         0.0016    0.0031      0.0016     1.0x    0.006%
    25  uniform         0.0097    0.0344      0.0020     4.9x    0.035%
    50  uniform         0.0402    0.0856      0.0029    13.8x    0.144%
   100  uniform         0.1772    0.3019      0.0048    37.0x    0.633%
   150  uniform         0.3668    0.5761      0.0086    42.7x    1.310%
   250  uniform         1.2129    1.6514      0.0155    78.1x    4.332%
   500  uniform         5.1960    7.0209      0.0638    81.4x   18.557%
  1000  uniform        30.6331   38.0061      0.7327    41.8x  109.404%
  2000  uniform       226.3987  270.7144      2.6846    84.3x  808.567%
    10  lowrank         0.0018    0.0026      0.0015     1.2x    0.006%
    25  lowrank         0.0115    0.0392      0.0019     6.0x    0.041%
    50  lowrank         0.0527    0.1409      0.0029    18.3x    0.188%
   100  lowrank         0.2669    0.5273      0.0049    54.6x    0.953%
   150  lowrank         0.5893    0.8224      0.0083    70.9x    2.105%
   250  lowrank         1.7887    2.8089      0.0189    94.8x    6.388%
   500  lowrank         9.9630   11.6391      0.0593   168.1x   35.582%
  1000  lowrank        53.0353   61.4657      0.7263    73.0x  189.412%
  2000  lowrank       393.1226  466.6541      4.5519    86.4x 1404.009%
