N=50, 300 trials per point

   eps  kendall_tau  exact_match  top1_match  obj_gain_%
  0.00       1.0000      100.0%     100.0%       0.000
  0.01       0.1426        0.0%      60.0%       4.381
  0.05       0.0651        0.0%      30.0%      29.134
  0.10       0.0330        0.0%      19.7%      71.997
  0.25       0.0275        0.0%      15.7%     280.910
  0.50       0.0208        0.0%       9.7%     585.909
  1.00       0.0117        0.0%       7.7%    2278.987
  2.00      -0.0060        0.0%       5.0%    4600.740

eps=0 is the rank-1 case: assignment provably reduces to argsort.
